20180830-18:38:24.234,-556,11520,-188,834
20180830-18:38:24.236,-556,11520,-188,931
20180830-18:38:24.239,-4108,20208,-4464,1057
20180830-18:38:24.241,-4108,20208,-4464,1204
20180830-18:38:24.243,2852,13988,-3476,1348
20180830-18:38:24.246,2852,13988,-3476,1519
20180830-18:38:24.248,1536,19636,4140,1652
20180830-18:38:24.250,1536,19636,4140,1728
20180830-18:38:24.252,-1212,11228,-892,1770
20180830-18:38:24.255,-1212,11228,-892,1803
20180830-18:38:24.257,-1212,11228,-892,1775
20180830-18:38:24.259,-3724,20216,-4772,1813
20180830-18:38:24.261,-3724,20216,-4772,1885
20180830-18:38:24.263,2736,13740,-2984,1953
20180830-18:38:24.265,2736,13740,-2984,2035
20180830-18:38:24.267,1764,19708,4696,2141
20180830-18:38:24.270,1764,19708,4696,2169
20180830-18:38:24.272,1764,19708,4696,2175
20180830-18:38:24.274,-1824,11572,-888,2176
20180830-18:38:24.276,-1824,11572,-888,2128
20180830-18:38:24.278,-3232,20508,-4932,2122
20180830-18:38:24.280,-3232,20508,-4932,2157
20180830-18:38:24.282,-3232,13940,-2456,2196
20180830-18:38:24.285,2768,13940,-2456,2233
20180830-18:38:24.287,2768,13940,-2456,2334
20180830-18:38:24.289,1968,19204,4708,2366
20180830-18:38:24.291,1968,19204,4708,2365
20180830-18:38:24.293,-2340,11624,-1048,2353
20180830-18:38:24.295,-2340,11624,-1048,2317
20180830-18:38:24.297,-2340,11624,-1048,2252
20180830-18:38:24.299,-2748,20468,-4844,2254
20180830-18:38:24.302,-2748,20468,-4844,2272
20180830-18:38:24.304,2728,14012,-2112,2292
20180830-18:38:24.306,2728,14012,-2112,2363
20180830-18:38:24.308,2728,18964,4276,2421
20180830-18:38:24.310,1936,18964,4276,2416
20180830-18:38:24.312,1936,18964,4276,2396
20180830-18:38:24.314,-2912,12008,-1588,2380
20180830-18:38:24.316,-2912,12008,-1588,2296
20180830-18:38:24.318,-2164,20244,-5200,2267
20180830-18:38:24.321,-2164,20244,-5200,2277
20180830-18:38:24.323,2652,14108,-1656,2301
20180830-18:38:24.326,2652,14108,-1656,2367
20180830-18:38:24.328,2652,14108,-1656,2429
