20180831-11:17:25.426,-2348,9864,-1660,792
20180831-11:17:25.428,-2788,21680,-3972,917
20180831-11:17:25.431,-2788,21680,-3972,1080
20180831-11:17:25.433,2536,15500,-2024,1234
20180831-11:17:25.436,2536,15500,-2024,1404
20180831-11:17:25.438,2116,17664,3540,1562
20180831-11:17:25.440,2116,17664,3540,1648
20180831-11:17:25.443,-2560,10372,-1800,1706
20180831-11:17:25.445,-2560,10372,-1800,1739
20180831-11:17:25.447,-2560,21760,-4008,1725
20180831-11:17:25.449,-2244,21760,-4008,1782
20180831-11:17:25.451,-2244,21760,-4008,1858
20180831-11:17:25.453,2492,15708,-1568,1931
20180831-11:17:25.455,2492,15708,-1568,2021
20180831-11:17:25.457,1936,17200,3708,2122
20180831-11:17:25.460,1936,17200,3708,2158
20180831-11:17:25.462,1936,17200,3708,2166
20180831-11:17:25.464,-2960,10836,-1844,2174
20180831-11:17:25.466,-2960,10836,-1844,2126
20180831-11:17:25.468,-1776,21508,-4172,2128
20180831-11:17:25.470,-1776,21508,-4172,2161
20180831-11:17:25.473,2476,16140,-1200,2201
20180831-11:17:25.475,2476,16140,-1200,2239
20180831-11:17:25.477,2476,16140,-1200,2342
20180831-11:17:25.479,1812,16592,3504,2371
20180831-11:17:25.481,1812,16592,3504,2366
20180831-11:17:25.483,-3408,11400,-1932,2360
20180831-11:17:25.485,-3408,11400,-1932,2330
20180831-11:17:25.487,-3408,11400,-1932,2273
20180831-11:17:25.489,-1136,21236,-4476,2272
20180831-11:17:25.492,-1136,21236,-4476,2288
20180831-11:17:25.494,2504,16236,-664,2313
20180831-11:17:25.496,2504,16236,-664,2387
20180831-11:17:25.498,2504,15944,3212,2439
20180831-11:17:25.500,1660,15944,3212,2433
20180831-11:17:25.502,1660,15944,3212,2413
20180831-11:17:25.504,-3796,12084,-2360,2395
20180831-11:17:25.506,-3796,12084,-2360,2330
20180831-11:17:25.508,-840,21084,-4420,2304
20180831-11:17:25.511,-840,21084,-4420,2329
20180831-11:17:25.513,-840,16200,-360,2361
20180831-11:17:25.515,2592,16200,-360,2419
20180831-11:17:25.518,2592,16200,-360,2476
20180831-11:17:25.520,1460,15408,2812,2457
20180831-11:17:25.522,1460,15408,2812,2432
20180831-11:17:25.525,-4012,12604,-2464,2402
20180831-11:17:25.527,-4012,12604,-2464,2318
20180831-11:17:25.529,-372,20868,-4424,2319
20180831-11:17:25.532,-372,20868,-4424,2349
20180831-11:17:25.534,2620,16308,88,2378
20180831-11:17:25.536,2620,16308,88,2453
20180831-11:17:25.538,2620,16308,2500,2480
20180831-11:17:25.541,1304,14880,2500,2461
20180831-11:17:25.543,1304,14880,2500,2433
20180831-11:17:25.545,-4388,13468,-2592,2393
20180831-11:17:25.547,-4388,13468,-2592,2329
20180831-11:17:25.550,8,20540,-3880,2340
20180831-11:17:25.552,8,20540,-3880,2367
20180831-11:17:25.554,2768,16532,536,2392
20180831-11:17:25.556,2768,16532,536,2470
20180831-11:17:25.559,2768,16532,1956,2486
20180831-11:17:25.561,1132,14092,1956,2464
20180831-11:17:25.563,1132,14092,1956,2435
20180831-11:17:25.565,-4640,14424,-2660,2387
20180831-11:17:25.568,-4640,14424,-2660,2329
20180831-11:17:25.570,460,20092,-3880,2343
20180831-11:17:25.572,460,20092,-3880,2369
20180831-11:17:25.574,2832,16868,788,2397
20180831-11:17:25.577,2832,16868,788,2475
20180831-11:17:25.579,2832,16868,1716,2485
20180831-11:17:25.581,852,13408,1716,2463
20180831-11:17:25.583,852,13408,1716,2435
20180831-11:17:25.585,-4940,15240,-2712,2379
20180831-11:17:25.588,-4940,15240,-2712,2332
20180831-11:17:25.590,868,19496,-3908,2347
20180831-11:17:25.592,868,19496,-3908,2378
20180831-11:17:25.594,2764,17120,1224,2402
20180831-11:17:25.597,2764,17120,1224,2483
20180831-11:17:25.599,2764,17120,1224,2491
20180831-11:17:25.601,688,12784,1348,2463
20180831-11:17:25.603,688,12784,1348,2435
20180831-11:17:25.606,-4696,16032,-2856,2377
20180831-11:17:25.608,-4696,16032,-2856,2333
20180831-11:17:25.610,916,19128,-3588,2351
20180831-11:17:25.613,916,19128,-3588,2381
20180831-11:17:25.615,2800,17376,1688,2414
20180831-11:17:25.617,2800,17376,1688,2490
20180831-11:17:25.620,2800,17376,752,2479
20180831-11:17:25.622,328,11776,752,2451
20180831-11:17:25.624,328,11776,752,2426
20180831-11:17:25.626,-4812,17364,-2944,2350
20180831-11:17:25.629,-4812,17364,-2944,2334
20180831-11:17:25.631,1388,18300,-3568,2358
20180831-11:17:25.633,1388,18300,-3568,2386
20180831-11:17:25.635,2928,17956,2088,2433
20180831-11:17:25.638,2928,17956,2088,2492
20180831-11:17:25.640,2928,17956,2088,2479
20180831-11:17:25.642,-376,10916,148,2449
20180831-11:17:25.644,-376,10916,148,2422
20180831-11:17:25.647,-4516,18724,-3040,2347
20180831-11:17:25.649,-4516,18724,-3040,2337
20180831-11:17:25.651,1512,17744,-3328,2359
20180831-11:17:25.653,1512,17744,-3328,2387
20180831-11:17:25.656,2968,17960,2464,2440
20180831-11:17:25.658,2968,17960,2464,2492
20180831-11:17:25.660,2968,17960,2464,2478
20180831-11:17:25.662,-676,10624,-164,2451
20180831-11:17:25.664,-676,10624,-164,2422
20180831-11:17:25.667,-4224,19104,-3404,2342
20180831-11:17:25.669,-4224,19104,-3404,2337
20180831-11:17:25.671,1652,17432,-3208,2360
20180831-11:17:25.673,1652,17432,-3208,2387
20180831-11:17:25.676,1652,17596,3028,2447
20180831-11:17:25.678,2796,17596,3028,2491
20180831-11:17:25.680,2796,17596,3028,2475
20180831-11:17:25.682,-1228,10336,-360,2444
20180831-11:17:25.685,-1228,10336,-360,2412
20180831-11:17:25.687,-3592,20344,-3752,2332
20180831-11:17:25.689,-3592,20344,-3752,2338
20180831-11:17:25.691,1960,16864,-2784,2363
20180831-11:17:25.694,1960,16864,-2784,2391
20180831-11:17:25.696,1960,17724,3212,2462
20180831-11:17:25.698,2600,17724,3212,2491
20180831-11:17:25.701,2600,17724,3212,2468
20180831-11:17:25.703,-1708,10364,-984,2439
20180831-11:17:25.705,-1708,10364,-984,2402
20180831-11:17:25.707,-3284,20908,-3792,2332
20180831-11:17:25.709,-3284,20908,-3792,2339
20180831-11:17:25.712,2152,16492,-2356,2367
20180831-11:17:25.714,2152,16492,-2356,2393
20180831-11:17:25.716,2152,16492,3492,2467
20180831-11:17:25.719,2256,17512,3492,2486
20180831-11:17:25.721,2256,17512,3492,2462
20180831-11:17:25.723,-2240,10120,-1384,2434
20180831-11:17:25.725,-2240,10120,-1384,2379
20180831-11:17:25.728,-2640,21416,-4148,2331
20180831-11:17:25.730,-2640,21416,-4148,2347
20180831-11:17:25.732,2336,16100,-2120,2375
20180831-11:17:25.734,2336,16100,-2120,2400
20180831-11:17:25.737,2336,17452,3708,2484
20180831-11:17:25.739,2020,17452,3708,2487
20180831-11:17:25.741,2020,17452,3708,2461
20180831-11:17:25.743,-2492,10248,-1716,2434
20180831-11:17:25.746,-2492,10248,-1716,2377
20180831-11:17:25.748,-2204,21448,-4076,2330
20180831-11:17:25.750,-2204,21448,-4076,2348
20180831-11:17:25.752,2380,16244,-1556,2376
20180831-11:17:25.755,2380,16244,-1556,2402
20180831-11:17:25.757,2380,16244,3476,2485
20180831-11:17:25.759,1904,16800,3476,2485
20180831-11:17:25.761,1904,16800,3476,2460
20180831-11:17:25.764,-3112,11252,-1760,2434
20180831-11:17:25.766,-3112,11252,-1760,2371
20180831-11:17:25.768,-1508,21284,-4164,2332
20180831-11:17:25.770,-1508,21284,-4164,2352
20180831-11:17:25.773,-1508,16540,-992,2378
20180831-11:17:25.775,2556,16540,-992,2409
20180831-11:17:25.777,2556,16540,-992,2490
20180831-11:17:25.779,1728,15928,3040,2486
20180831-11:17:25.782,1728,15928,3040,2459
20180831-11:17:25.784,-3516,12020,-2048,2429
20180831-11:17:25.786,-3516,12020,-2048,2361
20180831-11:17:25.788,-1024,20968,-4380,2334
20180831-11:17:25.790,-1024,20968,-4380,2353
20180831-11:17:25.793,-1024,16528,-496,2381
20180831-11:17:25.795,2556,16528,-496,2417
20180831-11:17:25.797,2556,16528,-496,2490
20180831-11:17:25.799,1576,15376,2804,2482
20180831-11:17:25.802,1576,15376,2804,2454
20180831-11:17:25.804,-3936,12656,-2072,2426
20180831-11:17:25.806,-3936,12656,-2072,2353
20180831-11:17:25.808,-420,20476,-4396,2335
20180831-11:17:25.811,-420,20476,-4396,2355
20180831-11:17:25.813,-420,20476,328,2385
20180831-11:17:25.815,2500,16432,328,2431
20180831-11:17:25.818,2500,16432,328,2491
20180831-11:17:25.820,1180,14820,2292,2478
20180831-11:17:25.822,1180,14820,2292,2449
20180831-11:17:25.824,-4132,13568,-2624,2421
20180831-11:17:25.827,-4132,13568,-2624,2344
20180831-11:17:25.829,120,20380,-3740,2337
20180831-11:17:25.831,120,20380,-3740,2362
20180831-11:17:25.834,120,16408,600,2388
20180831-11:17:25.836,2608,16408,600,2453
20180831-11:17:25.838,2608,16408,600,2490
20180831-11:17:25.840,980,13960,1744,2471
20180831-11:17:25.843,980,13960,1744,2441
20180831-11:17:25.845,-4612,14468,-2640,2409
20180831-11:17:25.847,-4612,14468,-2640,2332
20180831-11:17:25.849,400,19964,-3616,2338
20180831-11:17:25.852,400,19964,-3616,2363
20180831-11:17:25.854,400,16948,752,2392
20180831-11:17:25.856,2716,16948,752,2464
20180831-11:17:25.858,2716,16948,752,2491
20180831-11:17:25.861,720,13432,1376,2469
20180831-11:17:25.863,720,13432,1376,2441
20180831-11:17:25.865,-4612,15544,-2740,2400
20180831-11:17:25.867,-4612,15544,-2740,2334
20180831-11:17:25.870,920,19228,-3684,2342
20180831-11:17:25.872,920,19228,-3684,2370
20180831-11:17:25.874,920,17024,1352,2396
20180831-11:17:25.876,2704,17024,1352,2470
20180831-11:17:25.879,2704,17024,1352,2490
20180831-11:17:25.881,368,12796,1164,2466
20180831-11:17:25.883,368,12796,1164,2439
20180831-11:17:25.885,-4376,16480,-2828,2390
20180831-11:17:25.888,-4376,16480,-2828,2333
20180831-11:17:25.890,1160,18564,-3348,2347
20180831-11:17:25.892,1160,18564,-3348,2373
20180831-11:17:25.894,1160,18564,1864,2399
20180831-11:17:25.897,2608,17484,1864,2478
20180831-11:17:25.899,2608,17484,1864,2488
20180831-11:17:25.901,-180,11840,216,2464
20180831-11:17:25.903,-180,11840,216,2437
20180831-11:17:25.906,-4364,17784,-3172,2381
20180831-11:17:25.908,-4364,17784,-3172,2333
20180831-11:17:25.910,1632,17888,-3280,2349
20180831-11:17:25.912,1632,17888,-3280,2378
20180831-11:17:25.915,1632,17888,-3280,2405
20180831-11:17:25.917,2488,17564,2420,2484
20180831-11:17:25.919,2488,17564,2420,2488
20180831-11:17:25.921,-572,11488,-388,2463
20180831-11:17:25.924,-572,11488,-388,2434
20180831-11:17:25.926,-4072,18724,-3316,2373
20180831-11:17:25.928,-4072,18724,-3316,2334
20180831-11:17:25.930,1744,17500,-2776,2353
20180831-11:17:25.933,1744,17500,-2776,2379
20180831-11:17:25.935,1744,17500,-2776,2415
20180831-11:17:25.937,2392,17808,2600,2490
20180831-11:17:25.939,2392,17808,2600,2483
20180831-11:17:25.942,-1020,11156,-652,2457
20180831-11:17:25.944,-1020,11156,-652,2431
20180831-11:17:25.946,-3520,19604,-3356,2360
