20180913-09:40:50.005,820,14752,-1000,2081
20180913-09:40:50.008,-1456,16788,-3908,2395
20180913-09:40:50.010,-1456,16788,-3908,2525
20180913-09:40:50.016,1760,16092,2140,2165
20180913-09:40:50.019,-1228,18212,-660,1891
20180913-09:40:50.021,-1228,18212,-660,1813
20180913-09:40:50.023,684,13248,-2080,1889
20180913-09:40:50.025,684,13248,-2080,2094
20180913-09:40:50.028,-1464,18248,-2848,2350
20180913-09:40:50.030,-1464,18248,-2848,2510
20180913-09:40:50.032,-1464,15224,1836,2533
20180913-09:40:50.034,1764,15224,1836,2377
20180913-09:40:50.036,1764,15224,1836,2144
20180913-09:40:50.039,-1212,18612,-992,1850
20180913-09:40:50.041,-1212,18612,-992,1808
20180913-09:40:50.043,772,12776,-2400,1926
20180913-09:40:50.046,772,12776,-2400,2144
20180913-09:40:50.048,-1352,18704,-2372,2393
20180913-09:40:50.050,-1352,18704,-2372,2513
20180913-09:40:50.052,1684,14780,1520,2494
20180913-09:40:50.055,1684,14780,1520,2299
20180913-09:40:50.057,1684,14780,-836,2035
20180913-09:40:50.060,-1024,18780,-836,1822
20180913-09:40:50.062,-1024,18780,-2732,1814
20180913-09:40:50.064,652,12488,-2732,1999
20180913-09:40:50.067,652,12488,-2732,2244
20180913-09:40:50.069,-968,19124,-1740,2459
20180913-09:40:50.071,-968,19124,-1740,2521
20180913-09:40:50.073,1604,14680,1252,2451
20180913-09:40:50.075,1604,14680,1252,2219
20180913-09:40:50.078,-1288,19288,-440,1951
20180913-09:40:50.080,-1288,19288,-440,1821
20180913-09:40:50.082,-1288,19288,-3136,1826
20180913-09:40:50.084,532,12232,-3136,2017
20180913-09:40:50.087,532,12232,-3136,2278
20180913-09:40:50.089,-664,19128,-1128,2481
20180913-09:40:50.091,-664,19128,-1128,2523
20180913-09:40:50.093,1312,14496,864,2421
20180913-09:40:50.096,1312,14496,864,2191
20180913-09:40:50.098,-1028,19172,-56,1931
20180913-09:40:50.100,-1028,19172,-56,1815
20180913-09:40:50.102,-1028,19172,-56,1841
20180913-09:40:50.105,-84,12212,-3620,2044
20180913-09:40:50.107,-84,12212,-3620,2289
20180913-09:40:50.109,-444,19428,-772,2489
20180913-09:40:50.112,-444,19428,-772,2528
20180913-09:40:50.114,1180,14352,624,2399
20180913-09:40:50.116,1180,14352,624,2154
20180913-09:40:50.118,-680,19056,-308,1900
20180913-09:40:50.121,-680,19056,-308,1822
20180913-09:40:50.123,-680,19056,-308,1862
20180913-09:40:50.125,-288,12396,-3828,2084
20180913-09:40:50.127,-288,12396,-3828,2321
20180913-09:40:50.129,-188,19368,-380,2501
20180913-09:40:50.132,-188,19368,-380,2525
20180913-09:40:50.134,1044,14436,328,2368
20180913-09:40:50.136,1044,14436,328,2117
20180913-09:40:50.139,-484,18556,-320,1877
20180913-09:40:50.141,-484,18556,-320,1805
20180913-09:40:50.143,-484,18556,-320,1883
20180913-09:40:50.145,-364,12640,-3972,2108
20180913-09:40:50.148,-364,12640,-3972,2350
20180913-09:40:50.150,112,19440,16,2500
20180913-09:40:50.152,112,19440,16,2535
20180913-09:40:50.154,876,14704,176,2343
20180913-09:40:50.157,876,14704,176,2077
20180913-09:40:50.159,-548,18656,-288,1855
20180913-09:40:50.161,-548,18656,-288,1808
20180913-09:40:50.163,-548,18656,-288,1912
20180913-09:40:50.166,-556,12788,-4032,2138
20180913-09:40:50.168,-556,12788,-4032,2398
20180913-09:40:50.170,292,19212,520,2510
20180913-09:40:50.172,292,19212,520,2511
20180913-09:40:50.175,692,14628,-44,2314
20180913-09:40:50.177,692,14628,-44,2038
20180913-09:40:50.179,-484,18224,-4,1834
20180913-09:40:50.181,-484,18224,-4,1815
20180913-09:40:50.184,-484,18224,-4408,1969
20180913-09:40:50.186,-756,13152,-4408,2201
20180913-09:40:50.188,-756,13152,-4408,2430
20180913-09:40:50.191,368,19120,864,2513
20180913-09:40:50.193,368,19120,864,2477
20180913-09:40:50.195,576,14968,-472,2254
20180913-09:40:50.197,576,14968,-472,2004
20180913-09:40:50.200,-124,17672,-204,1829
20180913-09:40:50.202,-124,17672,-204,1812
20180913-09:40:50.204,-124,17672,-4476,2002
20180913-09:40:50.206,-980,13584,-4476,2244
20180913-09:40:50.209,-980,13584,-4476,2453
20180913-09:40:50.211,588,18636,1184,2526
20180913-09:40:50.213,588,18636,1184,2446
20180913-09:40:50.215,300,15468,-740,2220
