20180831-11:18:21.955,1128,15872,-348,888
20180831-11:18:21.957,-144,17192,688,1064
20180831-11:18:21.959,-144,17192,688,1191
20180831-11:18:21.962,-1120,14488,-2248,1290
20180831-11:18:21.964,-1120,14488,-2248,1334
20180831-11:18:21.966,-160,17656,-2088,1412
20180831-11:18:21.968,-160,17656,-2088,1511
20180831-11:18:21.971,-160,17656,-2088,1609
20180831-11:18:21.973,1164,15820,-136,1718
20180831-11:18:21.975,1164,15820,-136,1862
20180831-11:18:21.977,-164,17308,628,1922
20180831-11:18:21.979,-164,17308,628,1958
20180831-11:18:21.982,-1388,14460,-2320,1979
20180831-11:18:21.984,-1388,14460,-2320,1959
20180831-11:18:21.986,-1388,14460,-2156,1956
20180831-11:18:21.988,52,17692,-2156,1994
20180831-11:18:21.991,52,17692,-2156,2048
20180831-11:18:21.993,1268,15844,224,2118
20180831-11:18:21.995,1268,15844,224,2221
20180831-11:18:21.997,-224,17044,412,2245
20180831-11:18:22.000,-224,17044,412,2234
20180831-11:18:22.002,-1660,14508,-2440,2225
20180831-11:18:22.004,-1660,14508,-2440,2168
20180831-11:18:22.006,-1660,14508,-2284,2159
20180831-11:18:22.008,176,17740,-2284,2187
20180831-11:18:22.010,176,17740,-2284,2221
20180831-11:18:22.013,1356,16028,512,2255
20180831-11:18:22.015,1356,16028,512,2353
20180831-11:18:22.017,-196,16784,280,2381
20180831-11:18:22.019,-196,16784,280,2375
20180831-11:18:22.022,-196,16784,-2492,2353
20180831-11:18:22.024,-1992,14776,-2492,2281
20180831-11:18:22.026,-1992,14776,-2492,2246
20180831-11:18:22.028,580,17580,-2468,2261
20180831-11:18:22.031,580,17580,-2468,2282
20180831-11:18:22.033,1396,16152,968,2326
20180831-11:18:22.035,1396,16152,968,2413
20180831-11:18:22.037,-288,16392,-136,2419
20180831-11:18:22.040,-288,16392,-136,2398
20180831-11:18:22.042,-288,16392,-2536,2380
20180831-11:18:22.044,-2164,15176,-2536,2301
20180831-11:18:22.047,-2164,15176,-2536,2273
20180831-11:18:22.049,868,17356,-2460,2286
20180831-11:18:22.051,868,17356,-2460,2305
20180831-11:18:22.053,1192,16484,1516,2371
20180831-11:18:22.056,1192,16484,1516,2433
20180831-11:18:22.058,-400,15900,-384,2426
20180831-11:18:22.060,-400,15900,-384,2404
20180831-11:18:22.062,-400,15620,-2716,2383
20180831-11:18:22.065,-2180,15620,-2716,2291
20180831-11:18:22.067,-2180,15620,-2716,2277
20180831-11:18:22.069,1048,17064,-2332,2290
20180831-11:18:22.071,1048,17064,-2332,2314
20180831-11:18:22.074,1056,16888,1684,2385
20180831-11:18:22.076,1056,16888,1684,2440
20180831-11:18:22.078,-572,15468,-668,2430
20180831-11:18:22.080,-572,15468,-668,2407
20180831-11:18:22.083,-572,16024,-2792,2379
20180831-11:18:22.085,-2096,16024,-2792,2294
20180831-11:18:22.087,-2096,16024,-2792,2282
20180831-11:18:22.089,1272,16792,-2164,2299
20180831-11:18:22.092,1272,16792,-2164,2332
20180831-11:18:22.094,940,17064,2020,2415
20180831-11:18:22.096,940,17064,2020,2450
20180831-11:18:22.098,-624,15080,-968,2435
20180831-11:18:22.101,-624,15080,-968,2411
20180831-11:18:22.103,-624,16508,-2976,2367
20180831-11:18:22.105,-1980,16508,-2976,2295
