20180912-14:18:46.828,-5876,17648,-2188,3222
20180912-14:18:46.830,-5876,17648,-2188,3175
20180912-14:18:46.833,3728,15684,-2672,3137
20180912-14:18:46.835,3728,15684,-2672,3129
20180912-14:18:46.837,6884,15668,220,3135
20180912-14:18:46.839,6884,15668,220,3174
20180912-14:18:46.841,-376,14064,-4544,3207
20180912-14:18:46.844,-376,14064,-4544,3230
20180912-14:18:46.846,-376,16816,-3712,3236
20180912-14:18:46.848,-9580,16816,-3712,3209
20180912-14:18:46.850,-9580,16816,-3712,3183
20180912-14:18:46.852,-6172,16916,-4084,3149
20180912-14:18:46.854,-6172,16916,-4084,3139
20180912-14:18:46.856,4604,15768,-1392,3127
20180912-14:18:46.858,4604,15768,-1392,3165
20180912-14:18:46.860,4604,15768,-1392,3195
20180912-14:18:46.863,7084,15016,-1496,3216
20180912-14:18:46.865,7084,15016,-1496,3223
20180912-14:18:46.867,-1040,14948,-2256,3220
20180912-14:18:46.869,-1040,14948,-2256,3186
20180912-14:18:46.871,-1040,14948,-5740,3169
20180912-14:18:46.873,-10292,15932,-5740,3144
20180912-14:18:46.875,-10292,15932,-5740,3131
20180912-14:18:46.877,-5364,17320,-2456,3148
20180912-14:18:46.879,-5364,17320,-2456,3176
20180912-14:18:46.883,4684,15656,-1804,3227
20180912-14:18:46.885,4684,15656,-1804,3213
20180912-14:18:46.887,7096,15120,-560,3213
20180912-14:18:46.889,7096,15120,-560,3182
20180912-14:18:46.891,7096,14628,-3748,3159
20180912-14:18:46.893,-2788,14628,-3748,3127
20180912-14:18:46.896,-2788,14628,-3748,3125
20180912-14:18:46.898,-9592,15932,-5116,3139
20180912-14:18:46.900,-9592,15932,-5116,3182
20180912-14:18:46.902,-4524,17196,-3468,3203
20180912-14:18:46.904,-4524,17196,-3468,3224
20180912-14:18:46.907,5168,16176,-204,3226
20180912-14:18:46.909,5168,16176,-204,3195
20180912-14:18:46.911,5168,16176,-204,3148
20180912-14:18:46.913,6636,13944,-2188,3121
20180912-14:18:46.916,6636,13944,-2188,3120
20180912-14:18:46.918,-2656,15568,-2292,3151
20180912-14:18:46.920,-2656,15568,-2292,3183
20180912-14:18:46.922,-10288,15592,-6080,3216
20180912-14:18:46.925,-10288,15592,-6080,3237
20180912-14:18:46.927,-3592,17208,-2720,3230
20180912-14:18:46.929,-3592,17208,-2720,3200
20180912-14:18:46.931,-3592,17208,-2720,3155
20180912-14:18:46.934,5608,15736,-1500,3132
20180912-14:18:46.936,5608,15736,-1500,3127
20180912-14:18:46.938,6792,14852,-328,3151
20180912-14:18:46.940,6792,14852,-328,3195
20180912-14:18:46.943,-3588,14940,-4480,3222
20180912-14:18:46.945,-3588,14940,-4480,3233
20180912-14:18:46.947,-10568,16676,-4988,3223
20180912-14:18:46.949,-10568,16676,-4988,3194
20180912-14:18:46.952,-10568,16676,-4988,3157
20180912-14:18:46.954,-2792,16940,-2924,3140
20180912-14:18:46.956,-2792,16940,-2924,3138
20180912-14:18:46.958,6852,16112,-72,3170
20180912-14:18:46.960,6852,16112,-72,3187
20180912-14:18:46.963,5868,14448,-2488,3234
20180912-14:18:46.965,5868,14448,-2488,3236
20180912-14:18:46.967,-4520,14960,-3428,3224
20180912-14:18:46.969,-4520,14960,-3428,3187
20180912-14:18:46.972,-4520,14960,-3428,3153
20180912-14:18:46.974,-10276,16760,-5232,3138
20180912-14:18:46.976,-10276,16760,-5232,3131
20180912-14:18:46.978,-1544,17064,-2316,3160
20180912-14:18:46.981,-1544,17064,-2316,3194
20180912-14:18:46.983,6748,15456,-816,3224
20180912-14:18:46.985,6748,15456,-816,3239
20180912-14:18:46.987,6748,14528,-1764,3225
20180912-14:18:46.989,5340,14528,-1764,3185
20180912-14:18:46.992,5340,14528,-1764,3152
20180912-14:18:46.994,-5272,14988,-4560,3135
20180912-14:18:46.996,-5272,14988,-4560,3142
20180912-14:18:46.998,-9568,16612,-4096,3172
20180912-14:18:47.003,-1772,16444,-3700,3217
20180912-14:18:47.005,-1772,16444,-3700,3241
20180912-14:18:47.008,-1772,16444,292,3210
20180912-14:18:47.010,8132,15652,292,3184
20180912-14:18:47.012,8132,15652,-2672,3143
20180912-14:18:47.014,4136,14712,-2672,3126
20180912-14:18:47.017,4136,14712,-2672,3134
20180912-14:18:47.019,-4900,15320,-4132,3180
20180912-14:18:47.021,-4900,15320,-4132,3205
20180912-14:18:47.023,-9680,16692,-5044,3221
20180912-14:18:47.026,-9680,16692,-5044,3232
20180912-14:18:47.028,-204,16648,-2104,3201
20180912-14:18:47.030,-204,16648,-2104,3187
20180912-14:18:47.032,-204,16648,-1048,3149
20180912-14:18:47.035,7852,15632,-1048,3142
20180912-14:18:47.037,7852,15632,-1048,3140
20180912-14:18:47.039,3860,14740,-1836,3175
20180912-14:18:47.041,3860,14740,-1836,3198
20180912-14:18:47.044,-6140,15276,-4904,3224
