20180912-14:34:52.614,-13720,13868,-6420,3289
20180912-14:34:52.617,-23008,19360,-6420,3267
20180912-14:34:52.619,-23008,19360,-6420,3232
20180912-14:34:52.621,184,18340,-2528,3204
20180912-14:34:52.623,184,18340,-2528,3200
20180912-14:34:52.625,21036,15380,2836,3219
20180912-14:34:52.627,21036,15380,2836,3240
20180912-14:34:52.630,11608,12364,-428,3277
20180912-14:34:52.632,11608,12364,-428,3287
20180912-14:34:52.634,11608,14152,-8132,3299
20180912-14:34:52.636,-16280,14152,-8132,3287
20180912-14:34:52.638,-16280,14152,-8132,3248
20180912-14:34:52.640,-22140,19332,-6640,3215
20180912-14:34:52.643,-22140,19332,-6640,3198
20180912-14:34:52.645,3888,18188,-604,3202
20180912-14:34:52.647,3888,18188,-604,3215
20180912-14:34:52.649,3888,18188,2420,3261
20180912-14:34:52.651,21472,14912,2420,3290
20180912-14:34:52.654,21472,14912,2420,3292
20180912-14:34:52.656,8104,12588,-1228,3270
20180912-14:34:52.658,8104,12588,-1228,3250
20180912-14:34:52.660,-18248,14708,-8880,3215
20180912-14:34:52.662,-18248,14708,-8880,3210
20180912-14:34:52.664,-18248,20040,-5372,3197
20180912-14:34:52.666,-19812,20040,-5372,3228
20180912-14:34:52.669,-19812,20040,-5372,3256
20180912-14:34:52.671,6876,17552,-968,3287
20180912-14:34:52.673,6876,17552,-968,3292
20180912-14:34:52.675,22248,14028,2436,3289
20180912-14:34:52.677,22248,14028,2436,3264
20180912-14:34:52.679,22248,14028,2436,3235
20180912-14:34:52.681,4472,12816,-1860,3206
20180912-14:34:52.684,4472,12816,-1860,3191
20180912-14:34:52.686,-19964,15708,-8212,3211
20180912-14:34:52.688,-19964,15708,-8212,3238
20180912-14:34:52.690,-17812,18980,-6240,3289
20180912-14:34:52.693,-17812,18980,-6240,3291
20180912-14:34:52.695,10000,18300,1296,3289
20180912-14:34:52.697,10000,18300,1296,3257
20180912-14:34:52.699,10000,18300,1296,3225
20180912-14:34:52.702,21668,13176,1528,3202
20180912-14:34:52.704,21668,13176,1528,3195
20180912-14:34:52.706,820,12656,-2512,3227
20180912-14:34:52.708,820,12656,-2512,3250
20180912-14:34:52.711,-22172,16360,-9472,3277
20180912-14:34:52.713,-22172,16360,-9472,3302
20180912-14:34:52.715,-14356,19452,-4172,3302
20180912-14:34:52.717,-14356,19452,-4172,3264
20180912-14:34:52.719,-14356,19452,-4172,3231
20180912-14:34:52.722,12996,16788,944,3207
20180912-14:34:52.724,12996,16788,944,3193
20180912-14:34:52.726,21340,13104,2324,3212
20180912-14:34:52.728,21340,13104,2324,3253
20180912-14:34:52.730,-2916,12880,-5548,3289
20180912-14:34:52.733,-2916,12880,-5548,3289
20180912-14:34:52.735,-2916,17088,-6568,3296
20180912-14:34:52.737,-23576,17088,-6568,3270
20180912-14:34:52.739,-23576,17088,-6568,3229
20180912-14:34:52.742,-11852,19524,-5540,3204
20180912-14:34:52.744,-11852,19524,-5540,3199
20180912-14:34:52.746,16200,16464,2932,3224
20180912-14:34:52.748,16200,16464,2932,3246
20180912-14:34:52.751,19764,12992,984,3275
20180912-14:34:52.753,19764,12992,984,3293
20180912-14:34:52.755,19764,12988,-5444,3286
20180912-14:34:52.757,-5760,12988,-5444,3262
20180912-14:34:52.760,-5760,12988,-5444,3223
20180912-14:34:52.762,-24688,17724,-9608,3201
20180912-14:34:52.764,-24688,17724,-9608,3191
20180912-14:34:52.766,-7436,19492,-2460,3209
20180912-14:34:52.768,-7436,19492,-2460,3238
20180912-14:34:52.771,18464,15716,1876,3286
20180912-14:34:52.773,18464,15716,1876,3287
20180912-14:34:52.775,18464,15716,1876,3294
20180912-14:34:52.777,16948,12664,1588,3256
20180912-14:34:52.780,16948,12664,1588,3240
20180912-14:34:52.782,-11088,13380,-7336,3206
20180912-14:34:52.784,-11088,13380,-7336,3189
20180912-14:34:52.786,-23996,18828,-6944,3214
20180912-14:34:52.788,-23996,18828,-6944,3258
20180912-14:34:52.791,-23996,18244,-3144,3293
20180912-14:34:52.793,-3536,18244,-3144,3306
20180912-14:34:52.795,-3536,18244,-3144,3286
20180912-14:34:52.797,20960,15044,3312,3258
20180912-14:34:52.802,20960,15044,3312,3205
20180912-14:34:52.804,13620,12320,-72,3205
20180912-14:34:52.806,-14268,13448,-7280,3230
20180912-14:34:52.809,-14268,13448,-7280,3257
20180912-14:34:52.811,-23560,18784,-7768,3291
20180912-14:34:52.814,-23560,18784,-7768,3315
20180912-14:34:52.816,-23560,18644,-716,3284
20180912-14:34:52.818,1016,18644,-716,3247
20180912-14:34:52.820,1016,18644,-716,3221
20180912-14:34:52.823,21460,14260,2452,3203
20180912-14:34:52.825,21460,14260,2452,3208
20180912-14:34:52.827,10684,12368,64,3236
20180912-14:34:52.829,10684,12368,64,3269
20180912-14:34:52.832,-18648,14508,-9176,3305
20180912-14:34:52.834,-18648,14508,-9176,3303
20180912-14:34:52.836,-20748,19088,-6432,3282
20180912-14:34:52.838,-20748,19088,-6432,3253
20180912-14:34:52.841,-20748,19088,-6432,3212
20180912-14:34:52.843,5092,18228,-424,3210
20180912-14:34:52.845,5092,18228,-424,3219
20180912-14:34:52.847,22416,14352,2980,3247
20180912-14:34:52.850,22416,14352,2980,3261
20180912-14:34:52.852,7132,11824,-1616,3291
20180912-14:34:52.854,7132,11824,-1616,3301
20180912-14:34:52.856,7132,15180,-8448,3275
20180912-14:34:52.859,-20492,15180,-8448,3247
20180912-14:34:52.861,-20492,15180,-8448,3217
20180912-14:34:52.863,-19436,19340,-6408,3217
20180912-14:34:52.865,-19436,19340,-6408,3215
20180912-14:34:52.867,9200,17744,256,3251
20180912-14:34:52.870,9200,17744,256,3278
20180912-14:34:52.872,22120,13808,2044,3296
20180912-14:34:52.874,22120,13808,2044,3309
20180912-14:34:52.876,22120,12480,-2584,3283
20180912-14:34:52.879,3116,12480,-2584,3245
20180912-14:34:52.881,3116,12480,-2584,3219
20180912-14:34:52.883,-22300,15704,-9496,3202
20180912-14:34:52.885,-22300,15704,-9496,3221
20180912-14:34:52.888,-15908,19616,-5296,3245
20180912-14:34:52.890,-15908,19616,-5296,3281
20180912-14:34:52.892,12692,17352,1248,3305
20180912-14:34:52.894,12692,17352,1248,3303
20180912-14:34:52.896,12692,13040,1788,3270
20180912-14:34:52.899,21148,13040,1788,3239
